"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/tweets",3499,0,39000,46506,7161,296911,4344,8.44,0.00,39000,48000,58000,64000,84000,99000,143000,166000,285000,297000,297000,297000
"None","Aggregated",3499,0,39000,46506,7161,296911,4344,8.44,0.00,39000,48000,58000,64000,84000,99000,143000,166000,285000,297000,297000,297000
