"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/tweets",7127,5181,10000,34610,86,293637,1225,22.59,16.42,10000,25000,46000,60000,103000,147000,206000,261000,293000,294000,294000,294000
"None","Aggregated",7127,5181,10000,34610,86,293637,1225,22.59,16.42,10000,25000,46000,60000,103000,147000,206000,261000,293000,294000,294000,294000
